Estación:       YECORA,  SON
Operada por:    SMN EMAS
Longitud:       108°56'00"  Latitud: 28°22'00"  Altitud: 1531

DD/MM/AAAA HH:MM      DIRS      DIRR      VELS      VELR      TEMP        HR        PB      PREC    RADSOL
25/01/2018 22:00       201       220     11.57     24.60      18.7        12     846.9       0.0     504.2
25/01/2018 23:00       172       196     11.09     20.00      18.4        10     847.1       0.0     298.7
26/01/2018 00:00       221       191      7.25     16.60      15.9        12     847.4       0.0      63.8
26/01/2018 01:00       184       184      6.20     10.80      10.6        22     847.9       0.0       0.0
26/01/2018 02:00       168       187      2.42     10.20       6.7        32     848.2       0.0       0.0
26/01/2018 03:00         0       134      0.00      0.00       3.2        41     848.4       0.0       0.0
26/01/2018 04:00       143       156      1.44      6.80       1.1        48     848.7       0.0       0.0
26/01/2018 05:00       201       205      0.38      5.10      -0.8        52     849.1       0.0       0.0
26/01/2018 06:00       134       184      0.83      3.90      -2.0        57     849.2       0.0       0.0
26/01/2018 07:00       128       172      0.83      4.50      -3.0        60     849.0       0.0       0.0
26/01/2018 08:00       155       137      0.91      4.50      -4.1        63     848.8       0.0       0.0
26/01/2018 09:00         0       180      0.00      0.00      -5.1        66     848.7       0.0       0.0
26/01/2018 10:00         0       180      0.00      0.00      -5.9        69     848.6       0.0       0.0
26/01/2018 11:00         0       180      0.00      0.00      -6.7        71     848.3       0.0       0.0
26/01/2018 12:00         0       180      0.00      0.00      -7.2        74     848.3       0.0       0.0
26/01/2018 13:00         0       180      0.00      0.00      -7.8        74     848.7       0.0       0.0
26/01/2018 14:00         0       180      0.00      0.00      -7.9        76     849.0       0.0      12.8
26/01/2018 15:00         0        59      0.00      2.20      -4.3        70     849.4       0.0     283.2
26/01/2018 16:00        11       322      0.27      3.30       2.9        52     849.7       0.0     483.8
26/01/2018 17:00       185       180      9.11     28.10      12.4        24     849.7       0.0     643.8
26/01/2018 18:00       168       175     16.12     27.50      16.5        11     849.6       0.0     735.8
26/01/2018 19:00       160       177     16.62     28.10      17.8        12     848.8       0.0     774.3
26/01/2018 20:00       164       155     13.80     24.10      18.8        11     847.9       0.0     752.8
