 00Z 01 Jan 2017  10.79  24.62
 12Z 01 Jan 2017  5.88  23.58
 12Z 02 Jan 2017  0.00  15.66
 00Z 03 Jan 2017  0.00  15.01
 12Z 03 Jan 2017  0.00  20.08
 12Z 04 Jan 2017  0.00  24.33
 00Z 05 Jan 2017  0.00  17.29
 00Z 06 Jan 2017  0.00  18.35
 12Z 06 Jan 2017  0.00  15.25
 00Z 07 Jan 2017  0.00  14.58
 12Z 07 Jan 2017  0.00  2.64
 00Z 08 Jan 2017  0.00  12.31
 12Z 08 Jan 2017  0.00  15.53
 00Z 09 Jan 2017  0.00  16.40
 12Z 09 Jan 2017  0.00  18.19
 00Z 10 Jan 2017  0.00  18.21
 12Z 10 Jan 2017  0.00  10.70
 00Z 11 Jan 2017  0.00  15.31
 12Z 11 Jan 2017  0.00  12.20
 00Z 12 Jan 2017  0.00  7.11
 12Z 12 Jan 2017  0.00  6.90
 12Z 13 Jan 2017  0.00  12.90
 00Z 14 Jan 2017  0.00  18.21
 12Z 14 Jan 2017  0.00  26.41
 00Z 15 Jan 2017  26.03  25.78
 12Z 15 Jan 2017  15.40  16.48
 00Z 16 Jan 2017  0.00  16.92
 12Z 16 Jan 2017  0.00  16.09
 00Z 17 Jan 2017  0.00  18.44
 00Z 18 Jan 2017  0.00  17.63
 12Z 18 Jan 2017  0.00  17.53
 00Z 19 Jan 2017  0.00  12.66
 12Z 19 Jan 2017  0.00  9.84
 00Z 20 Jan 2017  0.00  10.43
 12Z 20 Jan 2017  0.00  15.63
 00Z 21 Jan 2017  0.00  26.92
 12Z 21 Jan 2017  56.89  25.21
 00Z 22 Jan 2017  0.00  17.96
 12Z 22 Jan 2017  0.00  14.07
 00Z 23 Jan 2017  0.00  14.56
 12Z 23 Jan 2017  0.00  11.77
 00Z 24 Jan 2017  0.00  15.25
 12Z 24 Jan 2017  0.00  13.80
 00Z 25 Jan 2017  0.00  12.54
 12Z 25 Jan 2017  0.00  6.55
 00Z 26 Jan 2017  0.00  4.96
 12Z 26 Jan 2017  0.00  6.15
 00Z 27 Jan 2017  0.00  6.58
 12Z 27 Jan 2017  0.00  5.80
 00Z 28 Jan 2017  0.00  4.46
 12Z 28 Jan 2017  0.00  4.57
 00Z 29 Jan 2017  0.00  3.34
 12Z 29 Jan 2017  0.00  3.36
 00Z 30 Jan 2017  0.00  7.52
 12Z 30 Jan 2017  0.00  11.50
 12Z 31 Jan 2017  0.00  20.96
 00Z 01 Feb 2017  0.00  18.26
 12Z 01 Feb 2017  0.00  18.43
 00Z 02 Feb 2017  0.00  15.37
 12Z 02 Feb 2017  0.00  2.93
 00Z 03 Feb 2017  0.00  11.20
 12Z 03 Feb 2017  0.00  7.68
 00Z 04 Feb 2017  0.00  10.51
 12Z 04 Feb 2017  0.00  9.43
 00Z 05 Feb 2017  0.00  9.60
 12Z 05 Feb 2017  0.00  10.26
 00Z 06 Feb 2017  0.00  6.39
 12Z 06 Feb 2017  0.00  10.73
 00Z 07 Feb 2017  0.00  11.48
 00Z 08 Feb 2017  0.00  17.37
 12Z 08 Feb 2017  0.00  13.60
 00Z 09 Feb 2017  0.00  13.93
 12Z 09 Feb 2017  0.00  13.56
 12Z 10 Feb 2017  0.00  14.50
 00Z 11 Feb 2017  0.00  14.65
 12Z 11 Feb 2017  0.00  19.16
 00Z 12 Feb 2017  0.00  18.85
 12Z 12 Feb 2017  0.00  17.97
 00Z 13 Feb 2017  0.00  13.89
 12Z 13 Feb 2017  0.00  15.27
 00Z 14 Feb 2017  0.00  18.84
 12Z 14 Feb 2017  0.00  18.56
 00Z 15 Feb 2017  3.97  23.58
 12Z 15 Feb 2017  0.00  22.62
 00Z 16 Feb 2017  43.41  22.37
 12Z 16 Feb 2017  0.00  19.52
 00Z 17 Feb 2017  0.00  17.63
 12Z 17 Feb 2017  33.41  21.89
 00Z 18 Feb 2017  25.20  23.49
 12Z 18 Feb 2017  6.00  21.07
 00Z 19 Feb 2017  244.07  22.31
 12Z 19 Feb 2017  14.30  21.41
 00Z 20 Feb 2017  95.21  20.43
 12Z 20 Feb 2017  0.00  19.12
 00Z 21 Feb 2017  0.00  18.99
 12Z 21 Feb 2017  0.00  15.96
 00Z 22 Feb 2017  0.00  12.78
 12Z 22 Feb 2017  0.00  13.73
 00Z 23 Feb 2017  0.00  12.38
 12Z 23 Feb 2017  0.00  17.86
