89009 Amundsen-Scott Observations at 00Z 22 Dec 2017

-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1000.0    -94                                                               
  925.0    546                                                               
  850.0   1222                                                               
  700.0   2709                                                               
  688.0   2835  -25.3  -28.7     73   0.52    350      7  275.8  277.4  275.9
  682.0   2899  -24.7  -27.6     77   0.59    300     10  277.2  279.0  277.2
  674.0   2985  -23.9  -26.0     83   0.69    285     12  279.0  281.1  279.1
  671.0   3017  -24.1  -26.1     83   0.68    280     13  279.2  281.3  279.3
  658.0   3159  -24.8  -26.5     86   0.67    295     11  279.9  282.0  280.0
  646.0   3293  -25.5  -26.9     88   0.66    281     12  280.6  282.6  280.7
  633.0   3439  -26.5  -28.2     85   0.59    265     13  281.1  283.0  281.2
  604.0   3776  -28.8  -31.3     79   0.47    275     12  282.3  283.8  282.3
  591.0   3932  -29.8  -32.7     76   0.42    290     10  282.8  284.1  282.9
  585.0   4005  -30.3  -33.4     74   0.39    283     10  283.1  284.3  283.1
  567.0   4223  -32.1  -35.0     76   0.35    260     11  283.4  284.6  283.5
  544.0   4512  -34.6  -37.0     79   0.30    295     14  283.9  284.8  283.9
  501.0   5086  -39.5  -41.1     85   0.21    290     18  284.7  285.4  284.7
  500.0   5100  -39.7  -41.1     86   0.21    290     18  284.6  285.3  284.6
  465.0   5595  -41.7  -43.9     79   0.17    286     16  288.1  288.6  288.1
  458.0   5696  -42.5  -44.6     79   0.16    285     16  288.4  288.9  288.4
  434.0   6056  -45.2  -47.3     79   0.12    295     13  289.4  289.8  289.4
  425.0   6196  -46.2  -48.3     79   0.11    265     14  289.8  290.2  289.8
  406.0   6502  -48.5  -50.6     79   0.09    303     15  290.6  291.0  290.7
  405.0   6518  -48.6  -50.8     78   0.09    305     15  290.7  291.0  290.7
  400.0   6600  -49.3  -52.0     73   0.08    295     13  290.8  291.1  290.9
  399.0   6616  -49.5  -52.6     70   0.07    293     13  290.8  291.1  290.8
  394.0   6699  -49.7  -59.7     30   0.03    285     12  291.6  291.7  291.6
  390.0   6766  -49.9  -53.5     66   0.07    287     13  292.2  292.4  292.2
  385.0   6850  -50.5  -53.5     71   0.07    290     15  292.4  292.7  292.4
  382.0   6901  -50.9  -53.5     74   0.07    286     15  292.6  292.8  292.6
  373.0   7055  -51.9  -55.7     64   0.05    275     13  293.3  293.5  293.3
  364.0   7213  -52.9  -57.9     54   0.04    283     13  294.0  294.1  294.0
  357.0   7338  -53.3  -59.3     48   0.04    290     13  295.1  295.2  295.1
  355.0   7374  -53.3  -61.3     37   0.03    290     13  295.6  295.7  295.6
  353.0   7411  -53.3  -63.3     29   0.02    289     13  296.0  296.1  296.0
  316.0   8125  -52.5  -70.1     10   0.01    270     15  306.7  306.8  306.7
  310.0   8248  -52.3  -71.3      8   0.01    275     15  308.6  308.6  308.6
  304.0   8374  -52.4  -69.6     11   0.01    280     15  310.2  310.2  310.2
  300.0   8460  -52.5  -68.5     13   0.01    280     13  311.2  311.3  311.2
  272.0   9094  -51.2  -74.2      5   0.01    260     18  321.9  322.0  321.9
  251.0   9614  -50.1  -78.9      2   0.00    270     18  331.0  331.0  331.0
  250.0   9640  -50.1  -79.1      2   0.00    270     18  331.4  331.5  331.4
  219.0  10506  -50.1  -80.3      2   0.00    255     18  344.2  344.2  344.2
  205.0  10938  -50.1  -80.9      1   0.00    275     17  350.8  350.8  350.8
  200.0  11100  -50.1  -81.1      1   0.00    270     18  353.3  353.3  353.3
  183.0  11681  -49.7  -82.0      1   0.00    265     20  362.9  363.0  362.9
  180.0  11789  -49.7  -82.1      1   0.00    255     18  364.8  364.8  364.8
  176.0  11935  -49.6  -82.3      1   0.00    270     16  367.3  367.3  367.3
  168.0  12239  -49.4  -82.8      1   0.00    260     16  372.5  372.5  372.5
  163.0  12437  -49.2  -83.1      1   0.00    280     13  376.0  376.0  376.0
  153.0  12851  -49.0  -83.7      1   0.00    250     17  383.3  383.3  383.3
  150.0  12980  -48.9  -83.9      1   0.00    255     14  385.6  385.6  385.6
  146.0  13157  -48.8  -84.0      1   0.00    275     14  388.7  388.8  388.7
  133.0  13770  -48.5  -84.5      1   0.00    255     14  399.8  399.8  399.8
  132.0  13819  -48.5  -84.5      1   0.00    262     14  400.7  400.7  400.7
  130.0  13920  -48.3  -84.4      1   0.00    275     14  402.8  402.8  402.8
  123.0  14287  -47.4  -83.9      1   0.00    280     14  410.8  410.8  410.8
  120.0  14451  -47.1  -83.7      1   0.00    265     12  414.4  414.4  414.4
  112.0  14909  -46.0  -83.2      1   0.00    300     12  424.6  424.6  424.6
  100.0  15660  -44.3  -82.3      1   0.00    280     19  441.8  441.9  441.8
   95.0  16008  -43.4  -82.0      1   0.01    260     10  450.1  450.1  450.1
   92.0  16226  -42.9  -81.8      1   0.01    300     10  455.3  455.3  455.3
   89.0  16451  -42.3  -81.7      1   0.01    300     13  460.7  460.8  460.7
   87.0  16605  -42.0  -81.5      1   0.01    280     13  464.5  464.5  464.5
   85.0  16763  -41.6  -81.4      1   0.01    305      6  468.4  468.4  468.4
   83.0  16924  -41.2  -81.3      1   0.01    320     10  472.4  472.4  472.4
   81.0  17090  -40.8  -81.1      1   0.01    295     15  476.5  476.6  476.5
   79.0  17259  -40.3  -81.0      1   0.01    310     11  480.8  480.9  480.8
   76.0  17522  -39.7  -80.8      0   0.01    300     18  487.5  487.6  487.5
   74.0  17703  -39.2  -80.6      0   0.01    270     17  492.2  492.2  492.2
   73.0  17795  -39.0  -80.5      0   0.01    275     12  494.6  494.7  494.6
   71.0  17984  -38.5  -80.4      0   0.01    305     12  499.5  499.6  499.5
   70.0  18080  -38.3  -80.3      0   0.01    310     16  502.1  502.1  502.1
   68.0  18282  -37.6  -79.8      0   0.01    305     16  507.8  507.9  507.8
   65.0  18596  -36.5  -79.1      0   0.01    330     15  516.8  516.9  516.8
   64.0  18704  -36.1  -78.9      0   0.01    305     15  519.9  520.0  519.9
   61.0  19038  -34.9  -78.1      0   0.01    330     12  529.7  529.8  529.7
   58.0  19389  -33.7  -77.3      0   0.02    300     20  540.1  540.3  540.1
   57.0  19510  -33.3  -77.0      0   0.02    305     13  543.8  544.0  543.8
   55.2  19734  -32.5  -76.5      0   0.02    332     16  550.6  550.8  550.6
   55.0  19759  -32.5  -76.5      0   0.02    335     16  551.1  551.3  551.1
   52.0  20154  -32.9  -76.9      0   0.02    320     13  559.2  559.4  559.2
   51.0  20291  -33.0  -77.0      0   0.02    335     13  562.1  562.2  562.1
   50.0  20430  -33.1  -77.1      0   0.02    330     14  565.0  565.1  565.0
   49.0  20572  -33.6  -77.6      0   0.02    325     11  567.0  567.1  567.0
   48.9  20586  -33.7  -77.7      0   0.02    326     11  567.1  567.3  567.2
   46.0  21017  -33.3  -77.4      0   0.02    350     13  578.1  578.3  578.1
   43.0  21492  -32.9  -77.1      0   0.02    345     15  590.4  590.7  590.5
   41.0  21828  -32.5  -76.9      0   0.03    310     12  599.3  599.5  599.3
   40.0  22002  -32.4  -76.8      0   0.03    310     10  604.0  604.2  604.0
   39.0  22181  -32.2  -76.7      0   0.03    345     10  608.8  609.0  608.8
   37.0  22552  -31.9  -76.4      0   0.03    300     10  618.9  619.2  618.9
   35.0  22943  -31.5  -76.2      0   0.03    330     10  629.7  630.0  629.7
   30.0  24030  -30.5  -75.5      0   0.05    315      5  660.8  661.3  660.9
   29.0  24270  -30.5  -75.5      0   0.05     25     10  667.3  667.8  667.3
   28.0  24518  -30.5  -75.5      0   0.05      0     13  674.1  674.6  674.1
   20.0  26900  -30.3  -75.3      0   0.07     25      8  742.6  743.4  742.6
   19.0  27264  -30.4  -75.4      0   0.07     45      1  753.4  754.2  753.4
   17.2  27971  -30.5  -75.5      0   0.08    302      9  774.7  775.6  774.7
   17.0  28055  -30.4  -75.4      0   0.08    290     10  777.7  778.6  777.7
   16.0  28491  -29.7  -75.0      0   0.09    280     10  793.5  794.5  793.5
   13.0  29984  -27.4  -73.4      0   0.14    110     10  849.9  851.6  850.0
   12.0  30559  -26.5  -72.8      0   0.17     75      2  872.7  874.8  872.8
   11.0  31185  -25.6  -72.2      0   0.20     35     13  898.1  900.7  898.2
   10.0  31870  -24.5  -71.5      0   0.25    310     15  926.9  930.1  927.0
    8.3  33235  -21.3  -69.3      0   0.41    256      5  990.1  995.8  990.4

