89009 Amundsen-Scott Observations at 00Z 22 Jun 2017

-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1000.0    -74                                                               
  925.0    551                                                               
  850.0   1212                                                               
  700.0   2648                                                               
  681.0   2835  -49.3  -54.3     56   0.04     10     13  249.8  249.9  249.8
  677.0   2874  -45.8  -47.1     86   0.08    350     12  254.2  254.4  254.2
  676.0   2884  -44.9  -45.3     96   0.10    310     15  255.3  255.6  255.3
  674.0   2904  -41.2  -42.6     86   0.13    295     20  259.7  260.1  259.7
  673.0   2914  -39.3  -41.2     82   0.16    294     20  261.9  262.4  261.9
  668.0   2966  -36.9  -41.1     65   0.16    287     20  265.1  265.6  265.1
  659.0   3060  -36.8  -40.9     66   0.16    275     19  266.2  266.7  266.2
  637.0   3297  -36.7  -40.5     67   0.18    285     18  269.0  269.6  269.0
  614.0   3553  -36.5  -40.1     69   0.19    257     21  272.0  272.7  272.1
  612.0   3575  -36.6  -40.2     69   0.19    255     21  272.1  272.8  272.2
  571.0   4053  -39.4  -42.8     70   0.15    260     21  274.3  274.8  274.3
  545.0   4375  -41.3  -44.6     70   0.13    234     24  275.8  276.2  275.8
  518.0   4720  -42.5  -43.9     86   0.15    205     28  278.4  278.9  278.4
  508.0   4853  -42.9  -43.6     93   0.16    205     27  279.4  279.9  279.4
  500.0   4960  -44.1  -45.8     83   0.13    205     27  279.2  279.6  279.2
  499.0   4973  -44.1  -46.0     81   0.12    205     27  279.4  279.8  279.4
  495.0   5027  -44.1  -71.1      3   0.01    204     28  280.0  280.0  280.0
  482.0   5204  -45.1  -49.1     64   0.09    202     32  280.9  281.2  280.9
  479.0   5246  -45.3  -59.3     19   0.03    202     33  281.2  281.3  281.2
  475.0   5301  -45.3  -64.3     10   0.01    201     34  281.9  281.9  281.9
  452.0   5630  -46.1  -60.1     19   0.03    197     40  284.9  285.0  284.9
  442.0   5777  -47.0  -60.2     21   0.03    195     43  285.6  285.7  285.6
  405.0   6350  -50.5  -60.5     30   0.03    191     40  288.3  288.4  288.3
  400.0   6430  -51.1  -59.1     38   0.03    190     39  288.5  288.6  288.5
  374.0   6864  -54.5  -58.1     64   0.04    188     37  289.6  289.7  289.6
  322.0   7804  -62.0  -65.4     63   0.02    185     32  291.8  291.9  291.8
  319.0   7863  -62.5  -65.9     63   0.02    186     32  292.0  292.0  292.0
  300.0   8240  -64.7  -68.0     64   0.01    190     35  294.0  294.1  294.0
  292.0   8403  -65.9  -69.6     59   0.01    195     36  294.6  294.7  294.6
  270.0   8874  -69.3  -74.3     48   0.01    192     38  296.3  296.4  296.3
  250.0   9330  -71.7  -76.1     52   0.00    190     40  299.4  299.4  299.4
  242.0   9522  -72.7  -76.5     56   0.00    190     41  300.7  300.7  300.7
  240.0   9571  -72.9  -76.6     57   0.00    189     41  301.1  301.1  301.1
  234.0   9720  -72.3  -75.6     61   0.01    187     40  304.2  304.2  304.2
  230.0   9821  -72.6  -75.8     61   0.01    185     39  305.3  305.3  305.3
  205.0  10496  -74.3  -77.5     61   0.00    194     35  312.7  312.8  312.7
  202.0  10582  -74.3  -78.0     57   0.00    195     34  314.1  314.1  314.1
  200.0  10640  -74.3  -78.3     54   0.00    190     34  314.9  315.0  314.9
  195.0  10788  -73.4  -80.5     33   0.00    180     32  318.6  318.6  318.6
  192.0  10878  -72.9  -81.9     25   0.00    184     28  320.9  320.9  320.9
  188.0  11001  -72.9  -82.5     22   0.00    190     23  322.8  322.8  322.8
  177.0  11354  -72.9  -84.1     17   0.00    180     26  328.4  328.4  328.4
  172.0  11521  -72.9  -84.9     15   0.00    188     23  331.1  331.1  331.1
  168.0  11659  -73.0  -85.0     15   0.00    195     21  333.2  333.2  333.2
  162.0  11871  -73.1  -85.1     15   0.00    180     21  336.5  336.5  336.5
  156.0  12091  -73.6  -85.6     15   0.00    165     21  339.3  339.3  339.3
  150.0  12320  -74.1  -86.1     14   0.00    175     16  342.3  342.3  342.3
  148.0  12397  -74.3  -86.2     15   0.00    170     14  343.3  343.3  343.3
  142.0  12636  -74.9  -86.4     15   0.00    190     23  346.3  346.3  346.3
  137.0  12842  -75.4  -86.5     16   0.00    180     27  349.0  349.0  349.0
  133.0  13013  -75.8  -86.7     17   0.00    170     24  351.2  351.2  351.2
  124.0  13416  -76.8  -87.0     18   0.00    185     22  356.6  356.6  356.6
  108.0  14212  -78.7  -87.7     22   0.00                367.3  367.3  367.3

